"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area","TOTAL_POP","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R","POP_REJ"
"4415201","441520",0,0,0,0,216,0,0,0,0,430
"4415202","441520",0,0,0,0,214,0,0,0,0,430
"4415302","441530",0,0,728.356086857617,181.640997313778,160,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415303","441530",0,0,0,0,352,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415304","441530",0,0,0,0,310,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415305","441530",0,0,103.150804355973,273.382595592211,408,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415307","441530",0,0,0,0,235,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415308","441530",1,2661.89658530068,0,2454.2878724772,287,1,2661.89658530068,831.50689121359,2909.31146538319,1752
"4415703","441570",0,0,0,0,517,0,0,0,0,517
"4415801","441580",0,0,0,0,291,0,0,0,271.505584575934,919
"4415804","441580",0,0,0,0,257,0,0,0,271.505584575934,919
"4415805","441580",0,0,0,271.505584575934,371,0,0,0,271.505584575934,919
"4415901","441590",0,0,0,0,108,0,0,0,1895.75795525484,557
"4415902","441590",0,0,0,1895.75795525484,260,0,0,0,1895.75795525484,557
"4415904","441590",0,0,0,0,189,0,0,0,1895.75795525484,557
"4416001","441600",0,0,0,0,21,0,0,0,0,484
"4416002","441600",0,0,0,0,298,0,0,0,0,484
"4416003","441600",0,0,0,0,165,0,0,0,0,484
"4417401","441740",0,0,0,0,238,0,0,0,0,238
"6124706","612470",0,0,32.6029997621663,0,107,0,0,32.6029997621663,0,107
"6126802","612680",0,0,0,0,277,0,0,0,0,277
"6127206","612720",0,0,1.8843035432576,0,273,0,0,1.90488368561569,0,650
"6127207","612720",0,0,0,0,194,0,0,1.90488368561569,0,650
"6127208","612720",0,0,0.0205801423580851,0,183,0,0,1.90488368561569,0,650
"6127307","612730",0,0,0.00247931078774855,0,74,0,0,0.00247931078774855,0,74
"6127401","612740",0,0,0,0,251,0,0,0,0,332
"6127402","612740",0,0,0,0,81,0,0,0,0,332
"6132203","613220",0,0,0,0,293,0,0,1.56976773227143,0.366511326804357,441
"6132205","613220",0,0,1.56976773227143,0.366511326804357,148,0,0,1.56976773227143,0.366511326804357,441
"6133103","613310",0,0,0,0,217,0,0,107.633194322283,0,647
"6133105","613310",0,0,107.633194322283,0,430,0,0,107.633194322283,0,647
"6133404","613340",0,0,0,0,246,0,0,0,0,246
"6133504","613350",0,0,0,0,237,0,0,0,0,331
"6133505","613350",0,0,0,0,94,0,0,0,0,331
"6133606","613360",0,0,0,0,376,0,0,0,43.8132787919458,416
"6133607","613360",0,0,0,43.8132787919458,40,0,0,0,43.8132787919458,416
"6700101","670010",75,87219.8920627711,49501.5110853447,42848.1756869954,145,75,87219.8920627711,49501.5110853447,42848.1756869954,145
"6700201","670020",108,80437.6484377198,69457.2899474569,68679.2084715482,323,288,225333.575431898,226770.320383142,193063.02480858,784
"6700202","670020",95,76123.4500000142,61582.1834777506,58389.0027928881,229,288,225333.575431898,226770.320383142,193063.02480858,784
"6700203","670020",85,68772.4769941643,95730.8469579345,65994.8135441433,232,288,225333.575431898,226770.320383142,193063.02480858,784
"6700301","670030",66,47257.4318752177,43264.7633724259,39715.0587283047,165,226,208793.441875267,146552.649354976,122725.56485223,609
"6700302","670030",53,31095.3190624984,25651.7297590348,26151.8896672566,140,226,208793.441875267,146552.649354976,122725.56485223,609
"6700303","670030",42,28971.2021875348,24163.88992081,23134.7843001235,125,226,208793.441875267,146552.649354976,122725.56485223,609
"6700304","670030",65,101469.488750016,53472.266302705,33723.8321565449,179,226,208793.441875267,146552.649354976,122725.56485223,609
"6700401","670040",47,59817.4943748703,43939.6633173429,30382.5939601188,67,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700402","670040",49,31967.4828125071,27924.9470835927,24426.3886267593,133,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700403","670040",46,28097.1728126295,24290.7815634107,23770.7799958296,160,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700404","670040",55,27716.6615624614,25077.2756349608,23898.521455466,175,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700405","670040",51,25077.0068750251,22265.3413807461,25034.1768826256,137,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700406","670040",146,64969.6180740655,51731.2659788853,54695.075373614,369,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700407","670040",101,13325.8764094589,44130.2597764414,41019.4556830434,266,495,250971.312921018,239359.53473538,223226.991977457,1307
"6700501","670050",104,4084.0542036969,51621.5788388237,99722.7903082093,337,371,74744.2650788933,156258.053348148,241306.417339856,1063
"6700502","670050",131,0,58114.6802319088,53713.4344235314,366,371,74744.2650788933,156258.053348148,241306.417339856,1063
"6700503","670050",136,70660.2108751964,46521.7942774159,87870.1926081154,360,371,74744.2650788933,156258.053348148,241306.417339856,1063
"6700601","670060",15,86093.2436071708,0,1797.02725000225,9,15,86093.2436071708,0,1797.02725000225,9
"6700701","670070",15,0,11410.1190108983,16994.4223812949,44,66,91360.216004746,62570.4075690481,53203.1477589543,154
"6700702","670070",51,91360.216004746,51160.2885581498,36208.7253776595,110,66,91360.216004746,62570.4075690481,53203.1477589543,154
"6700801","670080",82,40470.2739378959,64613.2578082992,58349.8258735465,157,82,40470.2739378959,64613.2578082992,58349.8258735465,157
"6700901","670090",152,98635.60687498,82820.5313883411,69634.5070299664,343,231,180888.875624819,158770.420486818,125040.627682928,510
"6700902","670090",79,82253.2687498387,75949.8890984767,55406.120652962,167,231,180888.875624819,158770.420486818,125040.627682928,510
"6701001","670100",88,52541.3337500207,39616.0034265429,41110.3727575337,238,456,431140.276011699,215235.922420169,204645.526517287,1334
"6701002","670100",116,65700.7881252654,53074.5987643759,51869.9753762683,318,456,431140.276011699,215235.922420169,204645.526517287,1334
"6701003","670100",96,180678.278826028,46921.6441777285,39578.7339310139,293,456,431140.276011699,215235.922420169,204645.526517287,1334
"6701004","670100",71,66191.6393747004,35930.3394079407,35252.5992392477,196,456,431140.276011699,215235.922420169,204645.526517287,1334
"6701005","670100",85,66028.2359356852,39693.3366435809,36833.8452132232,289,456,431140.276011699,215235.922420169,204645.526517287,1334
"6701201","670120",81,3850.0327929873,1937.26262395876,132039.597757445,10,81,3850.0327929873,1937.26262395876,132039.597757445,10
"6701301","670130",172,94302.9333596693,67362.3215021929,70162.1233063102,483,214,112630.920185162,78979.9460994343,83747.1954444982,602
"6701302","670130",42,18327.9868254932,11617.6245972414,13585.072138188,119,214,112630.920185162,78979.9460994343,83747.1954444982,602
"6701401","670140",92,69351.3731280244,64994.2741766744,57288.39635226,262,465,284620.431133417,240149.416772934,236536.213942756,1462
"6701402","670140",94,44099.7758350389,37245.3528923832,38913.2790224361,295,465,284620.431133417,240149.416772934,236536.213942756,1462
"6701403","670140",134,104685.99497072,84444.6496844366,84991.2187513706,432,465,284620.431133417,240149.416772934,236536.213942756,1462
"6701404","670140",77,28971.248749882,23848.9774739149,28750.2177870155,259,465,284620.431133417,240149.416772934,236536.213942756,1462
"6701405","670140",68,37512.0384497521,29616.1625455247,26593.1020296735,214,465,284620.431133417,240149.416772934,236536.213942756,1462
"6701501","670150",142,137552.72827829,83001.192061773,83780.1826477537,307,142,137552.72827829,83001.192061773,83780.1826477537,307
"6701601","670160",65,12516.34149267,65010.4311808189,36731.4223499894,323,65,12516.34149267,65010.4311808189,36731.4223499894,323
"6701701","670170",65,66205.4642636618,55576.4798540534,40415.2629848884,207,291,281840.973459531,223534.371426157,286714.768305375,756
"6701702","670170",85,54778.2803194355,53751.7029901706,47165.4666977486,264,291,281840.973459531,223534.371426157,286714.768305375,756
"6701703","670170",48,59416.7693749771,53218.5310629666,56710.5039593665,156,291,281840.973459531,223534.371426157,286714.768305375,756
"6701704","670170",93,101440.459501456,60987.6575189663,142423.534663372,129,291,281840.973459531,223534.371426157,286714.768305375,756
"6701801","670180",99,16157.5574947086,46779.9342482109,56564.0927182861,298,388,255528.193077582,242268.016597638,259127.491391247,1270
"6701802","670180",73,43640.2400977835,32777.8491850172,38867.3091449139,317,388,255528.193077582,242268.016597638,259127.491391247,1270
"6701803","670180",111,88849.9840624556,82994.6595160542,85709.9731577739,355,388,255528.193077582,242268.016597638,259127.491391247,1270
"6701804","670180",105,106880.411422634,79715.5736483562,77986.1163702735,300,388,255528.193077582,242268.016597638,259127.491391247,1270
"6701901","670190",99,40342.2874402013,76931.5074019187,74999.2314464243,227,99,40342.2874402013,76931.5074019187,74999.2314464243,227
"6702011","670201",111,203146.838418191,158414.660860439,98671.2051428908,388,294,299719.35310568,240338.043874869,185873.575077962,1247
"6702012","670201",7,7522.66125001665,6202.24445493222,7521.39198547219,192,294,299719.35310568,240338.043874869,185873.575077962,1247
"6702013","670201",24,19686.6409375034,16866.5692296223,14363.4092592727,201,294,299719.35310568,240338.043874869,185873.575077962,1247
"6702014","670201",74,35978.4343749434,30729.4692078184,31937.8326911521,214,294,299719.35310568,240338.043874869,185873.575077962,1247
"6702015","670201",78,33384.7781250253,28125.100122057,33379.7359991746,252,294,299719.35310568,240338.043874869,185873.575077962,1247
"6702021","670202",28,34227.0287501328,8430.7588648349,9663.50688722491,261,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702022","670202",17,20757.331874948,13331.7746674734,14164.4486908206,162,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702023","670202",12,8830.56187496893,8092.91684170533,7912.97109320204,339,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702024","670202",15,14251.2609374505,12751.710050317,12550.093837439,265,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702025","670202",14,13606.4315625355,11753.7680198192,8961.19279115621,254,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702026","670202",10,7555.1884374246,7412.11502480693,7386.18541789195,322,96,99227.8034374602,61773.0434689567,60638.3987177348,1603
"6702101","670210",130,88734.0031250138,77427.0942113905,74162.7867783522,420,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702102","670210",17,17177.4134374559,11680.3635267468,13687.2683853793,345,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702103","670210",3,3260.437812533,2883.06235383183,3260.437812533,99,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702104","670210",5,4372.42500000447,3560.08508158894,4372.42499999889,173,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702105","670210",18,24797.8725000247,12280.6386466913,15887.9569397025,205,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702106","670210",19,14863.4287500978,12356.8646222224,12363.9807185316,260,192,153205.58062513,120188.108442472,123734.855634497,1502
"6702201","670220",24,69145.6452399199,14563.0754455783,23700.0054323726,52,24,69145.6452399199,14563.0754455783,23700.0054323726,52
"6702301","670230",137,129718.123152563,114986.518334038,101916.43511398,290,137,129718.123152563,114986.518334038,101916.43511398,290
