"OBWOD","REJ","N_ADRESY","CLC_area","UA_area","BDOT_area"
"6700101","670010",75,87219.8920627711,49501.5110856255,42848.1756869954
"6700201","670020",108,80437.6484377198,69457.2899474051,68679.2084715482
"6700202","670020",95,76123.4500000142,61582.1834779686,58389.0027928881
"6700203","670020",85,68772.4769941643,95730.84695801,65994.8135441433
"6700301","670030",66,47257.4318752177,43264.763372344,39715.0587283047
"6700302","670030",53,31095.3190624984,25651.7297591235,26151.8896672566
"6700303","670030",42,28971.2021875348,24163.8899209405,23134.7843001235
"6700304","670030",65,101469.488750016,53472.2663027542,33723.8321565449
"6700401","670040",47,59817.4943748703,43939.6633175593,30382.5939601188
"6700402","670040",49,31967.4828125071,27924.9470837351,24426.3886267593
"6700403","670040",46,28097.1728126295,24290.7815635017,23770.7799958296
"6700404","670040",55,27716.6615624614,25077.2756349479,23898.521455466
"6700405","670040",51,25077.0068750251,22265.3413806959,25034.1768826256
"6700406","670040",146,64969.6180740655,51731.2659790164,54695.075373614
"6700407","670040",101,13325.8764094589,44130.2597764605,41019.4556830434
"6700501","670050",104,4084.0542036969,51621.5788389604,99722.7903082093
"6700503","670050",136,70660.2108751964,46521.7942772597,87870.1926081154
"6700702","670070",51,91360.216004746,51160.2885582959,36208.7253776595
"6700801","670080",82,40470.2739378959,64613.257808266,58349.8258735465
"6700901","670090",152,98635.60687498,82820.531388282,69634.5070299664
"6700902","670090",79,82253.2687498387,75949.8890986007,55406.120652962
"6701001","670100",88,52541.3337500207,39616.003426694,41110.3727575337
"6701002","670100",116,65700.7881252654,53074.5987641962,51869.9753762683
"6701003","670100",96,180678.278826028,46921.6441777938,39578.7339310139
"6701004","670100",71,66191.6393747004,35930.3394078853,35252.5992392477
"6701005","670100",85,66028.2359356852,39693.3366435512,36833.8452132232
"6701201","670120",81,3850.0327929873,1937.2626240674,132039.597757445
"6701301","670130",172,94302.9333596693,67362.3215019131,70162.1233063102
"6701302","670130",42,18327.9868254932,11617.624597355,13585.072138188
"6701401","670140",92,69351.3731280244,64994.2741764924,57288.39635226
"6701402","670140",94,44099.7758350389,37245.3528924098,38913.2790224361
"6701403","670140",134,104685.99497072,84444.6496845498,84991.2187513706
"6701404","670140",77,28971.248749882,23848.9774739429,28750.2177870155
"6701405","670140",68,37512.0384497521,29616.1625454315,26593.1020296735
"6701501","670150",142,137552.72827829,83001.1920621226,83780.1826477537
