"OBWOD","REJ","POP_REJ","N_ADRESY_R","CLC_area_R","UA_area_R","BDOT_area_R"
"4415308","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"4415303","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"4415305","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"4415307","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"4415302","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"4415304","441530",1752,1,2661.89658530068,831.506891237106,2909.31146538319
"6700101","670010",145,75,87219.8920627711,49501.5110856255,42848.1756869954
"6700203","670020",784,288,225333.575431898,226770.320383384,193063.02480858
"6700202","670020",784,288,225333.575431898,226770.320383384,193063.02480858
"6700201","670020",784,288,225333.575431898,226770.320383384,193063.02480858
"6700304","670030",609,226,208793.441875267,146552.649355162,122725.56485223
"6700301","670030",609,226,208793.441875267,146552.649355162,122725.56485223
"6700303","670030",609,226,208793.441875267,146552.649355162,122725.56485223
"6700302","670030",609,226,208793.441875267,146552.649355162,122725.56485223
"6700402","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700401","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700405","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700406","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700403","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700407","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700404","670040",1307,495,250971.312921018,239359.534735917,223226.991977457
"6700503","670050",1063,371,74744.2650788933,156258.053348214,241306.417339856
"6700502","670050",1063,371,74744.2650788933,156258.053348214,241306.417339856
"6700501","670050",1063,371,74744.2650788933,156258.053348214,241306.417339856
"6700701","670070",154,66,91360.216004746,62570.4075692846,53203.1477589543
"6700702","670070",154,66,91360.216004746,62570.4075692846,53203.1477589543
"6700801","670080",157,82,40470.2739378959,64613.257808266,58349.8258735465
"6700902","670090",510,231,180888.875624819,158770.420486883,125040.627682928
"6700901","670090",510,231,180888.875624819,158770.420486883,125040.627682928
"6701003","670100",1334,456,431140.276011699,215235.922420121,204645.526517287
"6701004","670100",1334,456,431140.276011699,215235.922420121,204645.526517287
"6701001","670100",1334,456,431140.276011699,215235.922420121,204645.526517287
"6701002","670100",1334,456,431140.276011699,215235.922420121,204645.526517287
"6701005","670100",1334,456,431140.276011699,215235.922420121,204645.526517287
